IP,Endpoint,Method,RequestSize,ResponseSize,StatusCode,Timestamp,Duration
[::1]:44168,/post,PUT,32,7,200,2024-06-12T22:58:33+01:00,1.846µs
[::1]:34226,/post,PUT,32,7,200,2024-06-12T22:58:44+01:00,1.517µs
[::1]:42510,/get,GET,0,21,200,2024-06-13T13:39:34+01:00,22.162µs
[::1]:40716,/get,GET,0,21,200,2024-06-13T13:40:13+01:00,25.785µs
[::1]:59786,/post,POST,6,32,200,2024-06-13T14:16:25+01:00,13.838µs
127.0.0.1:36544,/post,GET,0,26,200,2024-06-14T12:02:21+01:00,11.355µs
127.0.0.1:34688,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,5.996µs
127.0.0.1:34704,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,6.652µs
127.0.0.1:34720,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,5.562µs
127.0.0.1:34750,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,18.166µs
127.0.0.1:34746,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,27.385µs
127.0.0.1:34770,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,15.102µs
127.0.0.1:34732,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.787µs
127.0.0.1:34756,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,18.702µs
127.0.0.1:34784,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.67µs
127.0.0.1:34724,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,13.408µs
127.0.0.1:34766,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,6.548µs
127.0.0.1:34788,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.275µs
127.0.0.1:34802,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.059µs
127.0.0.1:34818,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.118µs
127.0.0.1:34828,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.443µs
127.0.0.1:34830,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.198µs
127.0.0.1:34838,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.466µs
127.0.0.1:34842,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.611µs
127.0.0.1:34870,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,6.313µs
127.0.0.1:34858,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,5.075µs
127.0.0.1:34882,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.75µs
127.0.0.1:34896,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,2.684µs
127.0.0.1:34912,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,2.701µs
127.0.0.1:34928,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.648µs
127.0.0.1:34924,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.741µs
127.0.0.1:34938,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.924µs
127.0.0.1:34932,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.978µs
127.0.0.1:34950,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.936µs
127.0.0.1:34972,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.114µs
127.0.0.1:34958,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,17.299µs
127.0.0.1:34984,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.732µs
127.0.0.1:34996,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.886µs
127.0.0.1:35012,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.399µs
127.0.0.1:35014,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.984µs
127.0.0.1:35028,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.833µs
127.0.0.1:35064,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.382µs
127.0.0.1:35054,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,8.851µs
127.0.0.1:35074,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.018µs
127.0.0.1:35042,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,5.472µs
127.0.0.1:35082,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.997µs
127.0.0.1:35090,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.651µs
127.0.0.1:35092,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.499µs
127.0.0.1:35108,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.433µs
127.0.0.1:35116,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,5.593µs
127.0.0.1:35132,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.04µs
127.0.0.1:35136,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,2.647µs
127.0.0.1:35146,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,10.065µs
127.0.0.1:35156,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.384µs
127.0.0.1:35168,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.614µs
127.0.0.1:35172,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.366µs
127.0.0.1:35188,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.367µs
127.0.0.1:35198,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.164µs
127.0.0.1:35202,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.179µs
127.0.0.1:35214,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.061µs
127.0.0.1:35230,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.966µs
127.0.0.1:35236,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.714µs
127.0.0.1:35248,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,10.794µs
127.0.0.1:35252,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.661µs
127.0.0.1:35224,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,5.765µs
127.0.0.1:35254,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,9.153µs
127.0.0.1:35268,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.444µs
127.0.0.1:35270,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.097µs
127.0.0.1:35280,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,5.308µs
127.0.0.1:35292,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,2.563µs
127.0.0.1:35304,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.674µs
127.0.0.1:35318,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.705µs
127.0.0.1:35310,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,7.72µs
127.0.0.1:35326,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.012µs
127.0.0.1:35336,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.565µs
127.0.0.1:35346,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.478µs
127.0.0.1:35360,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.735µs
127.0.0.1:35374,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.529µs
127.0.0.1:35370,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.747µs
127.0.0.1:35386,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,2.705µs
127.0.0.1:35394,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,3.362µs
127.0.0.1:35404,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,4.618µs
127.0.0.1:35412,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,10.16µs
127.0.0.1:35408,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,5.212µs
127.0.0.1:35422,/post,GET,0,26,200,2024-06-14T12:04:17+01:00,9.39µs
